题号	名称	通过率	难度	完成
534	Design TinyURL	0.00%	Medium	
283	Move Zeroes	50.60%	Easy	Done
301	Remove Invalid Parentheses	35.40%	Hard	
273	Integer to English Words	22.40%	Hard	Done
621	Task Scheduler	42.30%	Medium	Done
67	Add Binary	33.10%	Easy	Done
689	Maximum Sum of 3 Non-Overlapping Subarrays	41.30%	Hard	
325	Maximum Size Subarray Sum Equals k	43.00%	Medium	Lock
253	Meeting Rooms II	39.20%	Medium	Lock
17	Letter Combinations of a Phone Number	35.20%	Medium	DoneBefore
91	Decode Ways	20.00%	Medium	Done
311	Sparse Matrix Multiplication	51.60%	Medium	Lock
297	Serialize and Deserialize Binary Tree	34.00%	Hard	
314	Binary Tree Vertical Order Traversal	37.20%	Medium	Lock
158	Read N Characters Given Read4 II - Call multiple times	24.50%	Hard	Lock
10	Regular Expression Matching	24.20%	Hard	DoneBefore
15	3Sum	21.80%	Medium	DoneBefore
278	First Bad Version	25.70%	Easy	DoneBefore
277	Find the Celebrity	35.70%	Medium	Lock
200	Number of Islands	35.50%	Medium	Done
76	Minimum Window Substring	26.00%	Hard	
257	Binary Tree Paths	39.60%	Easy	
157	Read N Characters Given Read4	29.10%	Easy	Lock
282	Expression Add Operators	30.20%	Hard	
543	Diameter of Binary Tree	44.50%	Easy	
23	Merge k Sorted Lists	27.70%	Hard	DoneBefore
173	Binary Search Tree Iterator	42.30%	Medium	DoneBefore
121	Best Time to Buy and Sell Stock	42.00%	Easy	DoneBefore
56	Merge Intervals	30.90%	Medium	Done
211	Add and Search Word - Data structure design	23.90%	Medium	Done
1	Two Sum	35.90%	Easy	DoneBefore
597	Friend Requests I: Overall Acceptance Rate	36.60%	Easy	Lock
161	One Edit Distance	31.60%	Medium	Lock
341	Flatten Nested List Iterator	42.20%	Medium	Done
252	Meeting Rooms	48.20%	Easy	Lock
125	Valid Palindrome	26.50%	Easy	
285	Inorder Successor in BST	36.20%	Medium	Lock
602	Friend Requests II: Who Has the Most Friends	41.40%	Medium	Lock
139	Word Break	30.60%	Medium	DoneBefore
98	Validate Binary Search Tree	23.70%	Medium	DoneBefore
78	Subsets	42.30%	Medium	DoneBefore
57	Insert Interval	28.20%	Hard	
43	Multiply Strings	27.50%	Medium	Done
670	Maximum Swap	38.40%	Medium	Done
133	Clone Graph	25.10%	Medium	DoneBefore
75	Sort Colors	38.40%	Medium	DoneBefore
215	Kth Largest Element in an Array	39.80%	Medium	Done
636	Exclusive Time of Functions	43.60%	Medium	Done
33	Search in Rotated Sorted Array	32.00%	Medium	DoneBefore
88	Merge Sorted Array	32.10%	Easy	DoneBefore
206	Reverse Linked List	46.10%	Easy	DoneBefore
79	Word Search	27.40%	Medium	Done
236	Lowest Common Ancestor of a Binary Tree	30.00%	Medium	DoneBeforePending
494	Target Sum	43.50%	Medium	Done
13	Roman to Integer	46.60%	Easy	DoneBefore
680	Valid Palindrome II	32.00%	Easy	
238	Product of Array Except Self	49.70%	Medium	Done
477	Total Hamming Distance	47.70%	Medium	Done
642	Design Search Autocomplete System	30.20%	Hard	Lock
146	LRU Cache	18.60%	Hard	Lock
523	Continuous Subarray Sum	23.20%	Medium	Done
398	Random Pick Index	43.80%	Medium	Done
218	The Skyline Problem	28.10%	Hard	DoneBeforePending
38	Count and Say	35.50%	Easy	Done
49	Group Anagrams	36.20%	Medium	Done
209	Minimum Size Subarray Sum	31.30%	Medium	
286	Walls and Gates	44.70%	Medium	Lock
102	Binary Tree Level Order Traversal	40.80%	Medium	DoneBefore
208	Implement Trie (Prefix Tree)	29.40%	Medium	
554	Brick Wall	45.90%	Medium	
90	Subsets II	37.10%	Medium	DoneBefore
28	Implement strStr()	28.50%	Easy	DoneBefore
71	Simplify Path	25.80%	Medium	
128	Longest Consecutive Sequence	37.40%	Hard	DoneBefore
20	Valid Parentheses	33.70%	Easy	
377	Combination Sum IV	42.30%	Medium	
127	Word Ladder	19.60%	Medium	DoneBefore
44	Wildcard Matching	20.50%	Hard	
334	Increasing Triplet Subsequence	39.70%	Medium	
